hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",115000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,25
"$50,000+ per year",120000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",120000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,44
"<$50,000 per year",9500,None,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",37500,None,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",2000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,54
"<$50,000 per year",8000,One or more,Not employed at this time,NA,Yes,No,NA,55
"<$50,000 per year",40000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,32
"<$50,000 per year",41500,None,Not employed at this time,NA,No,No,NA,40
"<$50,000 per year",18500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",50000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"$50,000+ per year",210000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,31
"<$50,000 per year",13000,None,Not employed at this time,NA,Yes,No,NA,57
"$50,000+ per year",141000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,53
"<$50,000 per year",7500,None,Not employed at this time,NA,Yes,No,NA,54
"<$50,000 per year",37000,One or more,Not employed at this time,NA,No,Yes,NA,30
"<$50,000 per year",38000,One or more,Employed full time,Do all of your work from home,No,No,No,24
"<$50,000 per year",47500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,32
"<$50,000 per year",45000,None,Not employed at this time,NA,No,No,NA,30
"$50,000+ per year",103000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,76
"<$50,000 per year",27500,None,Not employed at this time,NA,Yes,No,NA,49
"$50,000+ per year",227000,None,Not employed at this time,NA,Yes,No,NA,37
"$50,000+ per year",156000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,39
"<$50,000 per year",2000,One or more,Employed full time,Do all of your work from home,No,Yes,No,19
"$50,000+ per year",71000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"<$50,000 per year",17500,One or more,Not employed at this time,NA,No,Yes,NA,39
"<$50,000 per year",3000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"<$50,000 per year",3500,None,Employed full time,Do all of your work from home,Yes,No,No,53
"$50,000+ per year",82000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,31
"<$50,000 per year",40000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,62
"$50,000+ per year",59000,None,Employed full time,Do all of your work from home,Yes,No,No,65
"<$50,000 per year",500,One or more,Not employed at this time,NA,Yes,Yes,NA,70
"$50,000+ per year",206000,None,Not employed at this time,NA,Yes,No,NA,18
"$50,000+ per year",177000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,54
"$50,000+ per year",850000,None,Not employed at this time,NA,No,No,NA,49
"$50,000+ per year",96000,None,Not employed at this time,NA,Yes,No,NA,41
"<$50,000 per year",38500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,40
"$50,000+ per year",148000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"<$50,000 per year",8500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,39
"<$50,000 per year",45500,One or more,Employed part-time,Do all of your work from home,No,No,No,36
"$50,000+ per year",95000,None,Not employed at this time,NA,Yes,No,NA,53
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,40
"<$50,000 per year",43500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,34
"$50,000+ per year",97000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,63
"<$50,000 per year",20000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,36
"$50,000+ per year",193000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,19
"<$50,000 per year",9000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,36
"$50,000+ per year",173000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,58
"$50,000+ per year",130000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"$50,000+ per year",100000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",60000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"$50,000+ per year",108000,One or more,Not employed at this time,NA,Yes,Yes,NA,28
"<$50,000 per year",45000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,21
"$50,000+ per year",73000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",205000,None,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",48000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,39
"<$50,000 per year",3500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"$50,000+ per year",96000,One or more,Employed full time,Do all of your work from home,Yes,No,No,63
"<$50,000 per year",5000,None,Employed part-time,Do all of your work from home,Yes,No,No,63
"<$50,000 per year",41500,None,Not employed at this time,NA,Yes,No,NA,29
"<$50,000 per year",40000,One or more,Not employed at this time,NA,No,Yes,NA,58
"<$50,000 per year",41000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,49
"$50,000+ per year",114000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,62
"<$50,000 per year",35500,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,31
"$50,000+ per year",64000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"<$50,000 per year",500,One or more,Not employed at this time,NA,Yes,Yes,NA,69
"<$50,000 per year",42000,One or more,Not employed at this time,NA,Yes,Yes,NA,41
"$50,000+ per year",74000,None,Employed part-time,Do all of your work from home,Yes,No,No,54
"$50,000+ per year",129000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,60
"<$50,000 per year",6000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,34
"<$50,000 per year",2500,One or more,Not employed at this time,NA,No,No,NA,58
"<$50,000 per year",9000,One or more,Not employed at this time,NA,Yes,No,NA,34
"$50,000+ per year",950000,None,Employed full time,Do all of your work from home,No,No,No,31
"<$50,000 per year",28000,One or more,Not employed at this time,NA,Yes,No,NA,33
"$50,000+ per year",243000,None,Not employed at this time,NA,Yes,No,NA,34
"$50,000+ per year",71000,One or more,Not employed at this time,NA,No,Yes,NA,60
"<$50,000 per year",6500,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",5500,None,Not employed at this time,NA,No,No,NA,55
"<$50,000 per year",10500,None,Employed full time,Do all of your work from home,No,No,No,24
"$50,000+ per year",187000,None,Not employed at this time,NA,No,No,NA,38
"$50,000+ per year",178000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,44
"<$50,000 per year",8500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",104000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"<$50,000 per year",49500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,33
"$50,000+ per year",54000,One or more,Not employed at this time,NA,Yes,No,NA,41
"<$50,000 per year",21000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,84
"$50,000+ per year",154000,None,Employed full time,Do all of your work from home,Yes,No,Yes,28
"$50,000+ per year",137000,None,Employed full time,Do all of your work from home,No,No,Yes,24
"<$50,000 per year",46500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"$50,000+ per year",130000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"<$50,000 per year",12000,None,Employed part-time,Do all of your work from home,Yes,No,No,39
"$50,000+ per year",219000,One or more,Not employed at this time,NA,Yes,No,NA,49
"$50,000+ per year",211000,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",124000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,49
"<$50,000 per year",11000,One or more,Not employed at this time,NA,Yes,No,NA,41
"$50,000+ per year",92000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,55
"$50,000+ per year",55000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,61
"$50,000+ per year",56000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",96000,None,Employed full time,Do all of your work from home,Yes,No,No,36
"<$50,000 per year",10500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,74
"<$50,000 per year",44500,One or more,Not employed at this time,NA,No,No,NA,21
"$50,000+ per year",157000,None,Not employed at this time,NA,No,No,NA,65
"<$50,000 per year",25000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"$50,000+ per year",123000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,18
"$50,000+ per year",138000,None,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",44500,One or more,Employed full time,Do all of your work from home,No,Yes,No,19
"<$50,000 per year",4000,None,Not employed at this time,NA,Yes,No,NA,30
"$50,000+ per year",59000,None,Not employed at this time,NA,Yes,No,NA,21
"<$50,000 per year",46000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,40
"<$50,000 per year",9500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,28
"<$50,000 per year",5000,None,Employed full time,Do all of your work from home,Yes,No,No,55
"$50,000+ per year",147000,None,Not employed at this time,NA,Yes,No,NA,59
"<$50,000 per year",43000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,54
"$50,000+ per year",173000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,58
"$50,000+ per year",108000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,30
"<$50,000 per year",21000,One or more,Not employed at this time,NA,No,No,NA,52
"$50,000+ per year",183000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,64
"$50,000+ per year",242000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,67
"$50,000+ per year",55000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,29
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,31
"$50,000+ per year",83000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,24
"<$50,000 per year",46500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",130000,One or more,Not employed at this time,NA,No,Yes,NA,42
"$50,000+ per year",114000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,28
"$50,000+ per year",217000,None,Not employed at this time,NA,Yes,No,NA,46
"$50,000+ per year",53000,One or more,Not employed at this time,NA,No,Yes,NA,59
"$50,000+ per year",85000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,21
"<$50,000 per year",46000,None,Employed full time,Do all of your work from home,Yes,No,No,65
"<$50,000 per year",12000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,64
"<$50,000 per year",37500,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",11500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,50
"$50,000+ per year",101000,None,Employed full time,Do all of your work from home,No,No,Yes,39
"$50,000+ per year",61000,None,Not employed at this time,NA,Yes,No,NA,29
"<$50,000 per year",43000,One or more,Not employed at this time,NA,Yes,No,NA,65
"$50,000+ per year",191000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"<$50,000 per year",45000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,34
"$50,000+ per year",131000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",35500,None,Not employed at this time,NA,No,No,NA,49
"$50,000+ per year",75000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,57
"$50,000+ per year",52000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",39500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,48
"$50,000+ per year",67000,None,Employed part-time,Do all of your work from home,Yes,No,No,52
"<$50,000 per year",11500,One or more,Not employed at this time,NA,Yes,No,NA,39
"<$50,000 per year",48000,One or more,Not employed at this time,NA,No,Yes,NA,38
"$50,000+ per year",104000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,42
"<$50,000 per year",5500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",50000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"<$50,000 per year",48000,One or more,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",11000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"$50,000+ per year",224000,None,Not employed at this time,NA,Yes,No,NA,21
"$50,000+ per year",122000,None,Not employed at this time,NA,No,No,NA,41
"$50,000+ per year",181000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,36
"$50,000+ per year",193000,None,Not employed at this time,NA,No,No,NA,20
"<$50,000 per year",21500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,42
"<$50,000 per year",9000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,60
"<$50,000 per year",10000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"<$50,000 per year",30000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",2000,One or more,Not employed at this time,NA,Yes,Yes,NA,61
"<$50,000 per year",37000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,27
"<$50,000 per year",47500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,37
"$50,000+ per year",130000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",141000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,51
"$50,000+ per year",142000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,30
"$50,000+ per year",105000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",87000,None,Not employed at this time,NA,Yes,No,NA,31
"$50,000+ per year",111000,None,Not employed at this time,NA,Yes,No,NA,57
"$50,000+ per year",83000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",78000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,35
"$50,000+ per year",181000,None,Not employed at this time,NA,No,No,NA,58
"<$50,000 per year",5000,None,Not employed at this time,NA,No,No,NA,56
"<$50,000 per year",44500,None,Not employed at this time,NA,No,No,NA,44
"<$50,000 per year",8000,None,Not employed at this time,NA,No,No,NA,51
"$50,000+ per year",137000,One or more,Not employed at this time,NA,Yes,No,NA,64
"$50,000+ per year",222000,None,Not employed at this time,NA,No,No,NA,43
"$50,000+ per year",115000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,54
"$50,000+ per year",74000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"<$50,000 per year",6000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,44
"$50,000+ per year",102000,None,Not employed at this time,NA,No,No,NA,70
"$50,000+ per year",136000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,51
"<$50,000 per year",17000,One or more,Not employed at this time,NA,Yes,No,NA,41
"$50,000+ per year",106000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,42
"$50,000+ per year",62000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"<$50,000 per year",9500,None,Not employed at this time,NA,Yes,No,NA,57
"$50,000+ per year",950000,None,Not employed at this time,NA,Yes,No,NA,44
"$50,000+ per year",111000,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",6500,None,Not employed at this time,NA,Yes,No,NA,40
"$50,000+ per year",67000,None,Not employed at this time,NA,No,No,NA,68
"$50,000+ per year",145000,None,Not employed at this time,NA,No,No,NA,49
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,48
"<$50,000 per year",48000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,61
"$50,000+ per year",76000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,61
"$50,000+ per year",101000,One or more,Not employed at this time,NA,Yes,No,NA,40
"$50,000+ per year",166000,None,Not employed at this time,NA,No,No,NA,42
"<$50,000 per year",41500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,49
"<$50,000 per year",10500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,18
"<$50,000 per year",45500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,38
"$50,000+ per year",92000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,36
"<$50,000 per year",33000,One or more,Not employed at this time,NA,Yes,No,NA,43
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,67
"<$50,000 per year",46000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,24
"$50,000+ per year",136000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,43
"<$50,000 per year",26000,None,Not employed at this time,NA,Yes,No,NA,31
"<$50,000 per year",15500,None,Employed full time,Do all of your work from home,Yes,No,No,68
"$50,000+ per year",234000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,25
"<$50,000 per year",42000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,80
"<$50,000 per year",5000,None,Not employed at this time,NA,Yes,No,NA,38
"<$50,000 per year",11500,None,Not employed at this time,NA,Yes,No,NA,34
"$50,000+ per year",134000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"<$50,000 per year",27000,One or more,Not employed at this time,NA,Yes,Yes,NA,47
"$50,000+ per year",186000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,18
"$50,000+ per year",61000,None,Not employed at this time,NA,No,No,NA,51
"<$50,000 per year",11000,One or more,Not employed at this time,NA,No,Yes,NA,32
"<$50,000 per year",7000,One or more,Employed part-time,Do all of your work from home,Yes,Yes,No,41
"$50,000+ per year",61000,None,Not employed at this time,NA,Yes,No,NA,63
"<$50,000 per year",20500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,37
"<$50,000 per year",36000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",9000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,66
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"<$50,000 per year",49000,One or more,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",48000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,44
"<$50,000 per year",34000,None,Not employed at this time,NA,Yes,No,NA,48
"$50,000+ per year",106000,None,Not employed at this time,NA,Yes,No,NA,63
"<$50,000 per year",38000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,67
"$50,000+ per year",175000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",126000,None,Not employed at this time,NA,Yes,No,NA,36
"<$50,000 per year",500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,65
"<$50,000 per year",38000,None,Employed part-time,Do all of your work from home,Yes,No,No,64
"$50,000+ per year",50000,None,Not employed at this time,NA,No,No,NA,44
"$50,000+ per year",450000,None,Employed part-time,Do all of your work from home,Yes,No,No,66
"$50,000+ per year",173000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"$50,000+ per year",54000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,61
"<$50,000 per year",6000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,61
"$50,000+ per year",185000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,32
"<$50,000 per year",1000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,57
"<$50,000 per year",46000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,68
"<$50,000 per year",24500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,70
"<$50,000 per year",44500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,51
"<$50,000 per year",26000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,54
"<$50,000 per year",43500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,55
"$50,000+ per year",58000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,46
"$50,000+ per year",149000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,21
"<$50,000 per year",4000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,40
"$50,000+ per year",114000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"<$50,000 per year",41000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,18
"<$50,000 per year",25000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"<$50,000 per year",45500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,41
"$50,000+ per year",100000,None,Not employed at this time,NA,Yes,No,NA,62
"$50,000+ per year",80000,None,Employed full time,Do all of your work from home,Yes,No,No,55
"$50,000+ per year",82000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"<$50,000 per year",32000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",30000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,21
"$50,000+ per year",133000,One or more,Not employed at this time,NA,Yes,No,NA,37
"<$50,000 per year",43500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,51
"$50,000+ per year",148000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"$50,000+ per year",180000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,52
"$50,000+ per year",103000,None,Not employed at this time,NA,Yes,No,NA,54
"$50,000+ per year",108000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,38
"$50,000+ per year",131000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,46
"$50,000+ per year",205000,None,Not employed at this time,NA,No,No,NA,52
"<$50,000 per year",5500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,31
"<$50,000 per year",36500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"<$50,000 per year",43000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,40
"<$50,000 per year",36000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,68
"<$50,000 per year",3000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,51
"<$50,000 per year",38500,None,Not employed at this time,NA,Yes,No,NA,47
"$50,000+ per year",143000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,35
"$50,000+ per year",85000,One or more,Not employed at this time,NA,Yes,Yes,NA,84
"$50,000+ per year",149000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,38
"$50,000+ per year",72000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,39
"$50,000+ per year",350000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,46
"<$50,000 per year",20000,None,Employed part-time,Do all of your work from home,No,No,No,58
"$50,000+ per year",199000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,20
"$50,000+ per year",66000,None,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",43500,One or more,Not employed at this time,NA,No,Yes,NA,21
"<$50,000 per year",46000,None,Not employed at this time,NA,No,No,NA,59
"<$50,000 per year",34500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,Yes,58
"$50,000+ per year",63000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",22000,One or more,Not employed at this time,NA,No,Yes,NA,26
"$50,000+ per year",92000,One or more,Employed full time,Do all of your work from home,No,Yes,No,27
"$50,000+ per year",118000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",231000,None,Not employed at this time,NA,No,No,NA,42
"<$50,000 per year",12500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,27
"<$50,000 per year",43000,None,Employed part-time,Do all of your work from home,No,No,No,54
"$50,000+ per year",124000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,44
"$50,000+ per year",175000,None,Not employed at this time,NA,Yes,No,NA,59
"$50,000+ per year",67000,None,Not employed at this time,NA,Yes,No,NA,51
"$50,000+ per year",243000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Yes,Yes,NA,54
"<$50,000 per year",35500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,35
"$50,000+ per year",105000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,43
"$50,000+ per year",97000,None,Not employed at this time,NA,Yes,No,NA,33
"<$50,000 per year",34500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,41
"<$50,000 per year",36500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,33
"$50,000+ per year",174000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"$50,000+ per year",57000,One or more,Not employed at this time,NA,Yes,No,NA,70
"<$50,000 per year",3500,None,Not employed at this time,NA,Yes,No,NA,37
"$50,000+ per year",54000,None,Not employed at this time,NA,No,No,NA,32
"<$50,000 per year",21500,None,Not employed at this time,NA,Yes,No,NA,61
"<$50,000 per year",27500,One or more,Not employed at this time,NA,Yes,No,NA,42
"<$50,000 per year",4500,None,Not employed at this time,NA,Yes,No,NA,38
"$50,000+ per year",85000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,27
"<$50,000 per year",37000,One or more,Employed full time,Do all of your work from home,Yes,No,Yes,20
"$50,000+ per year",81000,None,Not employed at this time,NA,No,No,NA,41
"$50,000+ per year",52000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,64
"$50,000+ per year",132000,None,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",6500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,35
"$50,000+ per year",151000,None,Employed full time,Do all of your work from home,Yes,No,No,25
"$50,000+ per year",70000,None,Not employed at this time,NA,Yes,No,NA,37
"$50,000+ per year",156000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,26
"$50,000+ per year",143000,One or more,Not employed at this time,NA,Yes,No,NA,30
"<$50,000 per year",12500,One or more,Not employed at this time,NA,Yes,Yes,NA,41
"<$50,000 per year",4500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,43
"<$50,000 per year",3000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,27
"<$50,000 per year",49500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,51
